"Month","Dekad","Rainfall (mm)","Average (mm)"
1,1,1.417,0.498
1,2,0.906,0.566
1,3,1.585,0.801
2,1,1.556,2.276
2,2,1.771,2.536
2,3,1.147,1.562
3,1,2.269,1.615
3,2,2.049,1.457
3,3,3.299,2.169
4,1,3.182,4.154
4,2,3.147,4.741
4,3,4.16,5.248
5,1,10.205,5.361
5,2,6.793,6.434
5,3,12.816,6.41
6,1,1.316,0.429
6,2,0.107,0.083
6,3,0.094,0.263
7,1,6.878,5.938
7,2,5.35,7.741
7,3,3.688,8.908
8,1,17.041,11.6
8,2,11.97,12.85
8,3,15.656,13.85
9,1,7.603,4.974
9,2,8.947,5.09
9,3,7.167,4.049
10,1,3,4.184
10,2,3.75,2.036
10,3,0.874,1.831
11,1,1.558,0.395
11,2,2.449,0.303
11,3,0.543,0.263
12,1,2.122,1.122
12,2,1.489,1.026
12,3,2.137,1.323